,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Less (6.415779902634693e-76),Less (3.0342314677747904e-25),Less (3.54634378383216e-131),Equal (0.5328880082803149),Greater (0.9999999895072094),Equal (0.4803525472485971),Greater (0.999766506585984),Greater (1.0),Equal (0.1452328869309984),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Greater (0.9997678296647976),Greater (1.0),Less (0.0),Less (5.541752430307527e-112),Less (0.0),Less (3.1261997335639133e-55),Less (3.152315353094544e-20),Less (3.922518524816749e-18),Less (6.989515261208287e-19),Less (3.28858146880014e-179),Less (0.0),Less (1.0135720585270283e-267),Less (0.0),Less (2.624928120508102e-07),Less (9.079892292068574e-43),Less (5.488976316846718e-17),
executive-software development tools,,,,,,,,,,,,,,Greater (0.9999948593965917),Less (0.0),Less (2.2892075693468524e-110),Less (0.0),Less (8.07655915260298e-59),Less (2.443211311168033e-24),Less (4.246151666368699e-20),Less (3.5134258111441733e-22),Less (4.261002240476436e-182),Less (0.0),Less (2.52074013317104e-252),Less (0.0),Less (2.796689649679166e-18),Less (3.2400035922970506e-61),Less (2.4969527206871884e-33),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (1.988123454564742e-147),Less (0.0),Less (6.972743272489377e-84),Less (3.496085703151722e-38),Less (2.9838217495148744e-28),Less (2.30052741019652e-33),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.3459476194470639e-76),Less (3.6723578621765154e-186),Less (2.2055222517266835e-120),
property-full,,,,,,,,,,,,,,,,Equal (0.18399992653056851),Less (5.009682324895537e-13),Greater (0.999999602645215),Greater (1.0),Greater (0.9999723128153135),Greater (0.9999999999993621),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Less (0.0016212719201176495),Greater (0.9999999739802098),Greater (1.0),Greater (0.9999969161716593),Greater (0.9999999999998962),Greater (1.0),Greater (0.999999999999999),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9999999996825824),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (0.9999909692191589),Equal (0.31014651278215044),Greater (0.9990280943204908),Greater (0.999999999519442),Equal (0.5597260405778595),Greater (0.9982294115226081),Greater (0.9997464125645774),Greater (1.0),Greater (1.0),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (0.015618716175260259),Equal (0.4749228148537563),Equal (0.8459145488137997),Less (3.118295009602881e-07),Less (0.008104103438143676),Less (0.0036247462641171833),Greater (0.9999999999999957),Greater (0.9999997749020982),Greater (0.9999999999990867),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Equal (0.1693773964134937),Greater (0.9952542886987532),Equal (0.42263073087571157),Equal (0.4679592488628216),Equal (0.33103872612693275),Greater (0.9999999999999769),Greater (0.9999999969277155),Greater (0.9999999999996069),
property-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.24344554550149422),Less (0.0006476824896588794),Equal (0.29313499392845366),Equal (0.23559710061018158),Greater (0.9999999999999741),Greater (0.9999999278905669),Greater (0.9999999999983024),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9854658729031638),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.7557559151281544e-214),Less (3.434919161913075e-31),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
