Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
RedHat-TEIID,8.00,20.13,23.65,42.50,5588
Apache-TAPESTRY,6.83,19.45,25.00,28.01,1867
Apache-EAGLE,19.46,40.62,43.74,79.38,827
Apache-MAPREDUCE,16.00,45.20,43.26,69.97,6443
Apache-JSPWIKI,6.33,20.05,23.30,38.12,990
Apache-ZOOKEEPER,12.50,32.15,39.88,40.87,3721
Apache-CAMEL,5.00,19.70,22.00,51.69,14312
RedHat-ENTMQ,4.00,19.45,20.00,55.20,1200
RedHat-RHCLOUD,5.00,12.52,16.00,13.54,2376
Apache-LUCENE,9.00,23.99,30.40,29.33,10630
