Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
JiraEcosystem-AUI,0.00,1.37,2.00,2.65,4225
Apache-OPENEJB,0.00,1.49,2.00,2.36,2047
Apache-HBASE,3.00,11.76,15.00,15.84,27458
RedHat-DBZ,1.00,3.74,5.00,4.92,5800
RedHat-CLOUD,1.00,2.62,3.00,4.73,2311
Spring-XD,0.00,1.11,1.00,1.62,3707
Spring-DATAJPA,1.00,3.65,5.00,4.07,1687
Apache-APEXMALHAR,0.00,3.32,4.00,6.47,2041
RedHat-DEVELOPER,1.00,4.35,5.00,25.83,5435
Apache-CXF,0.00,2.58,3.00,4.64,8717
Apache-ASTERIXDB,1.00,2.64,3.00,3.67,3119
Apache-HADOOP,2.00,10.22,13.00,12.71,16366
JiraEcosystem-UPM,0.00,1.71,2.00,2.81,3767
JiraEcosystem-APL,0.00,1.24,2.00,1.78,1270
Spring-DATAGRAPH,1.00,2.30,3.00,2.34,1465
RedHat-CNV,0.00,0.75,1.00,1.94,2932
Apache-TIKA,1.00,5.40,6.00,7.74,3975
Sonatype-MVNCENTRAL,1.00,3.09,4.00,3.57,1668
Apache-DERBY,2.00,8.61,10.00,11.77,7142
Apache-ATLAS,1.00,2.64,3.00,3.21,4677
Apache-RANGER,1.00,2.10,2.00,3.23,4117
Apache-CMIS,1.00,2.17,3.00,2.77,1097
Apache-BEEHIVE,2.00,3.19,4.00,2.31,1231
Jira-CONFSERVER,1.00,2.99,3.00,8.13,45081
Apache-SUREFIRE,1.00,4.87,5.00,8.34,2138
Jira-FE,0.00,1.64,2.00,2.82,5590
Apache-MYFACES,1.00,2.75,3.00,3.95,4216
MongoDB-JAVA,1.00,2.85,3.00,3.85,4481
Spring-INT,1.00,2.17,3.00,2.77,4494
Sonatype-OSSRH,2.00,4.12,5.00,3.21,87533
Apache-ARTEMIS,1.00,5.04,6.00,7.94,4094
JiraEcosystem-AC,0.00,2.51,3.00,5.94,1555
JFrog-HAP,0.00,1.37,2.00,2.70,1294
Apache-SHINDIG,1.00,3.18,4.00,3.67,1979
Apache-REEF,1.00,3.25,4.00,6.46,2066
Apache-HAMA,2.00,6.57,8.00,8.91,1006
Apache-TAJO,2.00,7.40,9.00,8.39,2183
RedHat-WFLY,0.00,2.39,3.00,3.91,14646
Apache-PDFBOX,2.00,8.01,8.00,42.21,5562
Apache-XERCESJ,1.00,2.56,3.00,3.00,1746
Apache-AXIS,1.00,3.02,4.00,3.81,2922
Apache-TUSCANY,1.00,2.72,3.00,2.71,4082
RedHat-ARQ,1.00,1.85,2.00,2.55,2175
Spring-DATAREST,1.00,2.80,4.00,3.20,1565
Apache-IVY,1.00,2.83,3.00,3.76,1630
RedHat-ENTMQST,0.00,1.60,2.00,1.95,3141
Spring-SWS,2.00,3.44,4.00,3.12,1041
Apache-STANBOL,1.00,1.86,2.00,2.61,1473
Apache-SQOOP,1.00,5.02,7.00,5.35,3152
Apache-OLINGO,1.00,2.82,3.00,3.98,1592
RedHat-FORGE,0.00,1.55,2.00,2.62,2636
Apache-OPENJPA,1.00,3.18,4.00,4.47,2903
RedHat-AS7,0.00,2.51,3.00,3.72,5427
RedHat-TEIID,1.00,3.50,4.00,4.25,5775
Apache-TAPESTRY,0.00,1.79,2.00,2.25,2499
Apache-EAGLE,1.00,3.29,4.00,4.46,1097
Apache-MAPREDUCE,2.00,9.77,14.00,11.40,7109
Apache-JSPWIKI,2.00,4.64,6.00,5.53,1057
Apache-ZOOKEEPER,1.00,8.29,9.00,14.79,4485
Apache-CAMEL,1.00,2.94,4.00,4.37,19066
RedHat-ENTMQ,1.00,2.19,3.00,2.53,1480
RedHat-RHCLOUD,0.00,1.78,2.00,2.90,3959
Apache-LUCENE,4.00,10.29,12.00,14.27,10630
