Project,Domain,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-STORM,data storage & processing,0.00,0.00,0.00,0.62,3844
RedHat-EJBTHREE,soa and middlewares,0.00,0.00,0.00,2.20,2190
Apache-DIRSTUDIO,soa and middlewares,0.00,0.00,0.00,0.49,1290
JiraEcosystem-FRGE,software development tools,0.00,0.00,2.00,5.52,1155
Apache-SYNAPSE,soa and middlewares,0.00,0.00,0.00,0.20,1120
RedHat-SDN,devops and cloud,0.00,0.00,0.00,0.35,1561
Apache-OAK,content management,0.00,0.00,0.00,0.32,10090
RedHat-ENTMQBR,soa and middlewares,0.00,0.00,0.00,0.70,4572
Sonatype-NEXUS,devops and cloud,0.00,0.00,0.00,4.03,11187
RedHat-SRVKP,devops and cloud,0.00,0.00,0.00,0.33,1470
Apache-UIMA,content management,0.00,0.00,0.00,0.09,6479
Apache-CONTINUUM,software development tools,0.00,0.00,0.00,1.41,2724
Spring-DATAES,data storage & processing,0.00,0.00,0.00,1.86,1003
RedHat-HAWKULAR,devops and cloud,0.00,0.00,0.00,0.09,1309
Jira-CLOV,software development tools,0.00,0.00,0.00,1.97,1501
RedHat-JGRP,soa and middlewares,0.00,0.00,0.00,0.29,2559
Apache-LENS,data storage & processing,0.00,0.00,0.00,0.09,1451
JiraEcosystem-AUI,software development tools,0.00,0.00,0.00,0.41,4225
Apache-OPENEJB,soa and middlewares,0.00,0.00,0.00,0.28,2047
Apache-HBASE,data storage & processing,0.00,0.00,0.00,0.40,27458
RedHat-DBZ,data storage & processing,0.00,0.00,0.00,0.69,5800
RedHat-CLOUD,devops and cloud,0.00,0.00,0.00,0.42,2311
Spring-XD,data storage & processing,0.00,0.00,0.00,0.19,3707
Spring-DATAJPA,data storage & processing,0.00,0.00,0.00,4.27,1687
Apache-APEXMALHAR,data storage & processing,0.00,0.00,0.00,0.14,2041
RedHat-DEVELOPER,web development,0.00,0.00,0.00,0.06,5435
Apache-CXF,soa and middlewares,0.00,0.00,0.00,0.57,8717
Apache-ASTERIXDB,data storage & processing,0.00,0.00,0.00,0.04,3119
Apache-HADOOP,data storage & processing,0.00,0.00,0.00,0.58,16366
JiraEcosystem-UPM,devops and cloud,0.00,0.00,0.00,0.96,3767
JiraEcosystem-APL,software development tools,0.00,0.00,0.00,1.88,1270
Spring-DATAGRAPH,data storage & processing,0.00,0.00,0.00,0.89,1465
RedHat-CNV,devops and cloud,0.00,0.00,0.00,0.11,2932
Apache-TIKA,content management,0.00,0.00,0.00,0.45,3975
Sonatype-MVNCENTRAL,devops and cloud,0.00,0.00,0.00,0.77,1668
Apache-DERBY,data storage & processing,0.00,0.00,0.00,0.83,7142
Apache-ATLAS,data storage & processing,0.00,0.00,0.00,0.28,4677
Apache-RANGER,data storage & processing,0.00,0.00,0.00,0.36,4117
Apache-CMIS,content management,0.00,0.00,0.00,0.23,1097
Apache-BEEHIVE,web development,0.00,0.00,0.00,0.18,1231
Jira-CONFSERVER,content management,0.00,0.00,2.00,26.91,45081
Apache-SUREFIRE,software development tools,0.00,0.00,0.00,3.61,2138
Jira-FE,software development tools,0.00,0.00,1.00,10.13,5590
Apache-MYFACES,web development,0.00,0.00,0.00,0.68,4216
MongoDB-JAVA,data storage & processing,0.00,0.00,0.00,0.89,4481
Spring-INT,soa and middlewares,0.00,0.00,0.00,0.68,4494
Sonatype-OSSRH,devops and cloud,0.00,0.00,0.00,0.16,87533
Apache-ARTEMIS,soa and middlewares,0.00,0.00,0.00,0.35,4094
JiraEcosystem-AC,software development tools,0.00,0.00,0.00,4.03,1555
JFrog-HAP,devops and cloud,0.00,0.00,0.00,1.41,1294
Apache-SHINDIG,web development,0.00,0.00,0.00,0.25,1979
Apache-REEF,data storage & processing,0.00,0.00,0.00,0.15,2066
Apache-HAMA,data storage & processing,0.00,0.00,0.00,0.28,1006
Apache-TAJO,data storage & processing,0.00,0.00,0.00,0.09,2183
