Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
Apache-BOOKKEEPER,data storage & processing,17,27,0,18,1,0,0,1032,1095
Apache-STR,web development,26,20,0,4,0,0,0,2959,3009
Apache-YARN,data storage & processing,268,109,0,84,53,0,0,10648,11162
RedHat-MON,devops and cloud,19,29,0,13,2,0,0,1306,1369
Spring-SPR,web development,82,377,0,35,4,2,0,16913,17413
RedHat-JBEAP,web development,16,1369,0,22,0,1,0,16640,18048
Apache-PHOENIX,data storage & processing,43,251,0,50,10,0,0,6512,6866
Apache-JCR,content management,20,553,0,35,5,0,0,4169,4782
Apache-FALCON,data storage & processing,22,61,0,7,1,0,0,2252,2343
RedHat-WELD,web development,5,52,0,2,0,0,0,2556,2615
Apache-BIGTOP,data storage & processing,10,441,0,2,0,0,0,3446,3899
Apache-SSHD,soa and middlewares,9,45,0,13,0,0,0,1253,1320
RedHat-OSSM,devops and cloud,10,88,0,9,3,0,0,2130,2240
JiraEcosystem-PLE,software development tools,1,13,0,2,0,0,0,1483,1499
Apache-SCB,devops and cloud,29,169,0,9,1,0,0,2539,2747
Apache-SLIDER,data storage & processing,26,21,0,3,2,0,0,1213,1265
RedHat-RFE,devops and cloud,75,14,0,16,4,0,0,1508,1617
Jira-OPSGENIE,devops and cloud,55,22,0,7,2,0,0,1198,1284
RedHat-QUARKUS,devops and cloud,1,81,0,2,0,0,0,1503,1587
RedHat-ENTESB,soa and middlewares,24,584,0,10,0,4,0,14128,14750
RedHat-FUSETOOLS,software development tools,7,107,0,1,0,0,0,3316,3431
Apache-RAVE,web development,12,48,0,1,0,0,0,1225,1286
Apache-HIVE,data storage & processing,154,582,0,147,30,5,0,26087,27005
Apache-KNOX,soa and middlewares,32,402,0,20,3,1,0,2421,2879
Apache-NETBEANS,software development tools,1,173,0,3,1,0,0,6128,6306
Apache-SLING,web development,113,662,0,43,5,1,0,10942,11766
Spring-STS,software development tools,12,61,0,5,1,0,0,4328,4407
Apache-WW,web development,21,199,0,10,1,1,0,4990,5222
Jira-CLOUD,devops and cloud,17,286,0,9,1,0,0,7518,7831
Apache-AIRAVATA,soa and middlewares,42,98,0,16,4,0,0,3515,3675
Apache-CALCITE,data storage & processing,9,281,0,17,0,0,0,5247,5554
Apache-XALANJ,content management,0,14,0,3,0,0,0,2618,2635
Apache-CLOUDSTACK,devops and cloud,52,92,0,34,3,0,0,10163,10344
Spring-DATAREDIS,data storage & processing,1,208,0,1,0,0,0,1047,1257
RedHat-APIMAN,soa and middlewares,26,39,0,10,1,2,0,1258,1336
Apache-DIRSERVER,soa and middlewares,15,40,0,14,4,0,0,2222,2295
JiraEcosystem-ACJIRA,software development tools,13,18,0,4,1,0,0,2080,2116
Apache-GEODE,data storage & processing,44,221,0,39,7,1,0,10112,10424
Apache-JUDDI,soa and middlewares,4,29,0,5,0,0,0,980,1018
JiraEcosystem-AMPS,software development tools,1,87,0,0,0,0,0,1426,1514
RedHat-KATA,devops and cloud,0,17,0,1,0,0,0,1107,1125
RedHat-OPECO,devops and cloud,21,34,0,1,2,0,0,1024,1082
Apache-STORM,data storage & processing,29,173,0,24,3,2,0,3613,3844
RedHat-EJBTHREE,soa and middlewares,14,41,0,1,0,0,0,2134,2190
Apache-DIRSTUDIO,soa and middlewares,3,20,0,4,0,0,0,1263,1290
JiraEcosystem-FRGE,software development tools,13,23,0,11,1,0,0,1107,1155
Apache-SYNAPSE,soa and middlewares,27,21,0,8,5,0,0,1059,1120
RedHat-SDN,devops and cloud,7,31,0,5,0,0,0,1518,1561
Apache-OAK,content management,81,486,0,78,10,2,0,9433,10090
RedHat-ENTMQBR,soa and middlewares,44,121,0,20,5,0,0,4382,4572
Sonatype-NEXUS,devops and cloud,46,185,0,37,2,5,0,10912,11187
RedHat-SRVKP,devops and cloud,12,23,0,5,1,0,0,1429,1470
Apache-UIMA,content management,40,113,0,20,4,0,0,6302,6479
Apache-CONTINUUM,software development tools,9,33,0,11,0,0,0,2671,2724
Spring-DATAES,data storage & processing,4,177,0,0,0,0,0,822,1003
RedHat-HAWKULAR,devops and cloud,9,25,0,1,0,0,0,1274,1309
Jira-CLOV,software development tools,5,56,0,2,0,0,0,1438,1501
RedHat-JGRP,soa and middlewares,56,25,0,39,8,0,0,2431,2559
Apache-LENS,data storage & processing,13,21,0,2,1,0,0,1414,1451
JiraEcosystem-AUI,software development tools,15,106,0,2,1,0,0,4101,4225
Apache-OPENEJB,soa and middlewares,2,56,0,2,1,0,0,1986,2047
Apache-HBASE,data storage & processing,208,646,0,244,53,8,0,26299,27458
RedHat-DBZ,data storage & processing,38,230,0,13,1,0,0,5518,5800
RedHat-CLOUD,devops and cloud,2,467,0,2,0,1,0,1839,2311
Spring-XD,data storage & processing,35,167,0,20,1,0,0,3484,3707
Spring-DATAJPA,data storage & processing,2,188,0,0,1,0,0,1496,1687
Apache-APEXMALHAR,data storage & processing,32,46,0,9,1,0,0,1953,2041
RedHat-DEVELOPER,web development,54,71,0,9,0,0,0,5301,5435
Apache-CXF,soa and middlewares,54,274,0,19,0,2,0,8368,8717
Apache-ASTERIXDB,data storage & processing,16,33,0,17,6,0,0,3047,3119
Apache-HADOOP,data storage & processing,217,660,0,192,68,7,0,15222,16366
JiraEcosystem-UPM,devops and cloud,3,44,0,1,0,0,0,3719,3767
JiraEcosystem-APL,software development tools,6,27,0,4,0,0,0,1233,1270
Spring-DATAGRAPH,data storage & processing,3,296,0,2,1,0,0,1163,1465
RedHat-CNV,devops and cloud,17,63,0,6,4,0,0,2842,2932
Apache-TIKA,content management,12,363,0,12,1,1,0,3586,3975
Sonatype-MVNCENTRAL,devops and cloud,0,57,0,0,0,0,0,1611,1668
Apache-DERBY,data storage & processing,22,61,0,35,1,0,0,7023,7142
Apache-ATLAS,data storage & processing,52,201,0,23,5,0,0,4396,4677
Apache-RANGER,data storage & processing,26,223,0,27,1,0,0,3840,4117
Apache-CMIS,content management,4,37,0,4,1,0,0,1051,1097
Apache-BEEHIVE,web development,6,7,0,0,0,0,0,1218,1231
Jira-CONFSERVER,content management,107,450,0,76,9,7,0,44432,45081
Apache-SUREFIRE,software development tools,0,93,0,1,0,0,0,2044,2138
Jira-FE,software development tools,7,216,0,15,0,3,0,5349,5590
Apache-MYFACES,web development,6,38,0,7,2,0,0,4163,4216
MongoDB-JAVA,data storage & processing,17,86,0,10,0,0,0,4368,4481
Spring-INT,soa and middlewares,74,149,0,9,3,0,0,4259,4494
Sonatype-OSSRH,devops and cloud,287,10274,0,133,24,23,0,76792,87533
Apache-ARTEMIS,soa and middlewares,37,196,0,37,4,1,0,3819,4094
JiraEcosystem-AC,software development tools,9,26,0,2,0,0,0,1518,1555
JFrog-HAP,devops and cloud,5,16,0,0,0,0,0,1273,1294
Apache-SHINDIG,web development,14,49,0,10,2,0,0,1904,1979
Apache-REEF,data storage & processing,40,81,0,16,2,2,0,1925,2066
Apache-HAMA,data storage & processing,33,41,0,17,4,0,0,911,1006
Apache-TAJO,data storage & processing,61,70,0,38,21,2,0,1991,2183
RedHat-WFLY,web development,54,2222,0,40,8,4,0,12318,14646
Apache-PDFBOX,content management,10,61,0,9,2,0,0,5480,5562
Apache-XERCESJ,content management,2,22,0,2,0,0,0,1720,1746
Apache-AXIS,soa and middlewares,6,11,0,5,0,1,0,2899,2922
Apache-TUSCANY,soa and middlewares,23,61,0,6,0,0,0,3992,4082
RedHat-ARQ,software development tools,27,196,0,1,0,0,0,1951,2175
Spring-DATAREST,data storage & processing,3,140,0,1,0,0,0,1421,1565
Apache-IVY,software development tools,2,13,0,3,1,0,0,1611,1630
RedHat-ENTMQST,soa and middlewares,14,203,0,16,3,0,0,2905,3141
Spring-SWS,soa and middlewares,6,58,0,1,0,0,0,976,1041
Apache-STANBOL,content management,35,71,0,10,0,0,0,1357,1473
Apache-SQOOP,data storage & processing,22,66,0,7,3,0,0,3054,3152
Apache-OLINGO,soa and middlewares,12,40,0,5,1,1,0,1533,1592
RedHat-FORGE,software development tools,9,152,0,2,0,0,0,2473,2636
Apache-OPENJPA,data storage & processing,17,72,0,5,3,0,0,2806,2903
RedHat-AS7,web development,32,266,0,16,1,0,0,5112,5427
