hierarchy,Independent,Child,Parent,Total
RedHat-MODE,2448,199,33,2680
Apache-HTTPCLIENT,2171,5,3,2179
Apache-HDDS,4973,2899,187,8059
Apache-TOMAHAWK,1671,8,4,1683
RedHat-SWITCHYARD,2818,148,49,3015
Apache-FOP,3117,0,0,3117
RedHat-RESTEASY,2990,121,22,3133
RedHat-WINDUP,3192,210,53,3455
Apache-MRELEASE,1079,2,2,1083
Jira-BAM,15104,0,0,15104
Apache-OWB,1383,30,9,1422
Apache-TOBAGO,2116,56,15,2187
Apache-GOBBLIN,1764,20,8,1792
RedHat-GITOPS,1117,27,10,1154
JFrog-TCAP,255,814,1,1070
RedHat-JBSEAM,5003,20,9,5032
Jira-I18N,1057,0,0,1057
RedHat-CEQ,180,1406,358,1944
Apache-PIVOT,1018,20,3,1041
Apache-BATIK,1351,0,0,1351
Spring-IDE,1375,9,2,1386
Apache-AMQ,7556,175,112,7843
RedHat-AF,2611,79,22,2712
Jira-CRUC,6784,0,0,6784
RedHat-THORN,2467,0,0,2467
Apache-KARAF,7415,45,22,7482
Jira-CONFCLOUD,26724,83,40,26847
Apache-OODT,862,150,29,1041
Apache-AXIS2,5907,27,16,5950
Apache-HUDI,5445,351,67,5863
Apache-GROOVY,10419,242,55,10716
JiraEcosystem-AG,1274,179,33,1486
RedHat-ENTMQMAAS,2204,32,21,2257
Apache-DRILL,7894,360,113,8367
Apache-HDFS,11740,4133,232,16105
RedHat-JBDS,3861,274,91,4226
RedHat-JBPAPP,5220,590,123,5933
JiraEcosystem-PLUG,1140,16,9,1165
Apache-NUTCH,2782,147,42,2971
Apache-ACCUMULO,3968,580,197,4745
