,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
executive-web development,,,,,,,,,,,,,,,Less (1.2927771249917043e-305),Less (7.175609634092217e-69),Less (0.0),Less (1.0761915955278049e-10),Less (1.1229843964559612e-18),Less (0.01618531844699993),Less (1.2646072283131011e-22),Less (7.274403211458057e-299),Less (2.5839577806235924e-179),Less (0.0),Less (2.0148710220779048e-230),Less (7.828436129537257e-98),Less (8.428840694156057e-134),Less (9.112201618614295e-255),
property-full,,,,,,,,,,,,,,,,Equal (0.723528854621365),Less (7.307401076533677e-22),Greater (1.0),Greater (0.9999999999999769),Greater (1.0),Greater (0.9999955749501935),Greater (1.0),Greater (1.0),Greater (0.9999999999941984),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Less (5.539672102740345e-07),Greater (0.9999999999999989),Greater (0.9999999999123012),Greater (0.9999999999999954),Greater (0.9999778986043768),Greater (1.0),Greater (1.0),Greater (0.9983580074834073),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Equal (0.1324750584008581),Equal (0.06880071966523625),Less (0.0011981777749602016),Less (0.0005034559901907179),Equal (0.2752303258333173),Less (3.5651856008882578e-19),Equal (0.08673149479878657),Equal (0.18536858597728478),Equal (0.8251917633121238),Equal (0.052283274681121455),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Greater (0.9995136419885783),Equal (0.06683269840386544),Equal (0.30095151936606857),Equal (0.14967379391552355),Less (1.7499964056504704e-11),Equal (0.8323793211768824),Greater (0.9998188296130873),Greater (0.9940971671897801),Equal (0.7743325811022653),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Less (2.123673798866246e-06),Less (8.825127183208656e-07),Less (0.0006204644175862547),Less (7.847863885356418e-17),Less (3.199043666066206e-05),Equal (0.0740540538087071),Less (0.006473196841172011),Less (1.1851412521901139e-05),
property-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.13291919547464898),Greater (0.9998831473090812),Less (0.00043426490996653535),Greater (0.9937369091676685),Greater (0.9999999718221226),Greater (0.9999973477748157),Greater (0.9972642424707933),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (1.1180397520285625e-70),Greater (1.0),Greater (1.0),Less (2.9132262441663626e-72),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9998279722792314),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.2271104783559563e-31),Less (0.0),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (3.1014228537211894e-174),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
